Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LTD,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,34.64,41.61,37.72,35.61,7.3,-17.3,17.3,1962.0,14.1,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.936,20,21,10,0,51,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,110.71,72.34,105.73,114.73,1.2,1.3,1.3,5199.0,41.7,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.931,25,14,15,0,54,Buy on Breakout
NIITLTD,NIIT Limited,479993631.0,5418000.0,8,09-06-2026,5418000.0,8,479993631.0,88.59,0.0,0,48.0,479993631.0,0.0,479993631.0,0.0,False,False,False,102.97,34.81,97.97,83.76,38.5,16.2,16.2,1411.0,170.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.402,20,8,30,-5,53,Buy on Breakout
EUROPRATIK,Euro Pratik Sales Limited,290487587.0,1119688.0,4,29-05-2026,1119688.0,4,290487587.0,259.44,0.0,0,29.05,290487587.0,0.0,290487587.0,0.0,False,False,False,259.95,70.09,295.2,278.53,4.3,0.2,0.2,2658.0,46.3,-3.0,11.0,3.0,1.05,29.6,0.03,True,24.0,1.093,25,13,15,0,53,Buy on Breakout
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,13.0,21.07,24.33,27.99,-44.8,-12.2,12.2,900.0,36.4,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.617,20,7,0,-2,25,Avoid
APLLTD,Alembic Pharmaceuticals Limited,151280422.0,201110.0,5,18-06-2026,201110.0,5,151280422.0,752.23,0.0,0,15.13,151280422.0,0.0,151280422.0,0.0,False,False,False,824.8,69.61,813.87,793.53,7.5,9.6,9.6,16203.0,20.5,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.093,20,26,30,0,76,Strong Buy Setup
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,127243563.0,225376.0,11,21-08-2026,225376.0,11,127243563.0,564.58,0.0,0,12.72,127243563.0,0.0,127243563.0,0.0,False,False,False,461.1,57.33,485.47,498.25,3.1,-18.3,18.3,1027.0,18.2,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,1.239,20,20,5,0,45,Watchlist
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,102.05,50.68,87.47,86.48,25.0,15.3,15.3,294.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.803,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,88.84,71.72,91.77,195.1,-44.8,-7.0,7.0,1844.0,33.3,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.589,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,442.2,70.55,452.9,434.19,6.7,-6.9,6.9,3795.0,26.6,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.269,25,5,15,0,45,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,391.05,42.36,331.91,295.55,47.6,11.7,11.7,337.0,11.3,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.012,17,21,25,-2,61,Buy on Breakout
AEROENTER,AEROFLEX ENTERPRISES LIMITED,89594180.0,847500.0,5,17-06-2026,847500.0,5,89594180.0,105.72,0.0,0,8.96,89594180.0,0.0,89594180.0,0.0,False,False,False,143.64,51.59,128.32,96.26,81.1,35.9,35.9,1626.0,16.2,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.551,20,15,30,-2,63,Buy on Breakout
