Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LIMITED,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,36.39,41.61,37.46,35.64,15.3,-13.2,13.2,2067.0,14.8,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.635,20,21,15,0,56,Buy on Breakout
NIITLTD,NIIT Limited,488834601.0,5512220.0,10,24-08-2026,5512220.0,10,488834601.0,88.68,0.0,0,48.88,488834601.0,0.0,488834601.0,0.0,False,False,False,105.52,34.81,98.11,83.79,43.3,19.0,19.0,1445.0,174.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.383,20,8,30,-5,53,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,108.43,72.34,105.55,114.25,-0.8,-0.8,0.8,5101.0,40.9,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.949,25,14,5,0,44,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,12.68,21.07,23.81,27.78,-45.2,-14.4,14.4,880.0,35.6,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.676,20,7,0,-2,25,Avoid
APLLTD,Alembic Pharmaceuticals Limited,151280422.0,201110.0,5,18-06-2026,201110.0,5,151280422.0,752.23,0.0,0,15.13,151280422.0,0.0,151280422.0,0.0,False,False,False,813.45,69.61,816.71,792.34,5.7,8.1,8.1,15999.0,20.3,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.095,20,26,25,0,71,Strong Buy Setup
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,136495169.0,245394.0,12,26-08-2026,245394.0,12,136495169.0,556.23,0.0,0,13.65,136495169.0,0.0,136495169.0,0.0,False,False,False,470.05,57.33,482.51,496.62,6.1,-15.5,15.5,1046.0,18.5,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,1.305,20,20,5,0,45,Watchlist
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,98.84,50.68,87.88,86.53,20.4,11.7,11.7,286.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.909,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,86.38,71.72,91.54,191.63,-45.6,-9.6,9.6,1790.0,32.3,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.607,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,434.15,70.55,450.65,434.35,6.1,-8.6,8.6,3727.0,26.1,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.274,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,396.95,42.36,334.78,296.48,49.1,13.4,13.4,342.0,11.4,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,2.968,17,21,25,-2,61,Buy on Breakout
