Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,28-Aug-2026 20:57:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260828_205716768_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,1,Equity,Promoter,G Rajasekaran,,1986376,0.21%,1000,"357,642.00",Sell,1985376,0.21%,27-08-2026,27-08-2026,Market Sale,28-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,28-Aug-2026 20:57:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260828_205716768_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,2,Equity,Promoter Group,R Nageswari,,1418908,0.15%,1000,"357,642.00",Sell,1417908,0.15%,27-08-2026,27-08-2026,Market Sale,28-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,28-Aug-2026 20:57:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260828_205716768_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,3,Equity,Promoter Group,G Mani,,1280549,0.13%,1000,"357,642.00",Sell,1279549,0.13%,27-08-2026,27-08-2026,Market Sale,28-08-2026,,
KARURVYSYA,KARUR VYSYA BANK LIMITED,Regulation 7 (2),Original,28-Aug-2026 20:57:17,https://nsearchives.nseindia.com/corporate/ixbrl/IT_539_20260828_205716768_WEB.html,590003,KARURVYSYA,NOTLISTED,Srinivasarao M,Company Secretary and Compliance Officer,4,Equity,Director,B Ramesh Babu,06900325,178273,0.02%,30000,"10,384,881.00",Sell,148273,0.02%,25-08-2026,26-08-2026,Market Sale,28-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,1,Equity,Designated Person,Sunny Bhatia,,64789,0.02%,20000,"3,045,000.00",Sell,44789,0.02%,27-08-2026,27-08-2026,Market Sale,27-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,2,Equity,Designated Person,Anjani Kumar,,59689,0.02%,20689,"3,023,287.00",Sell,39000,0.01%,20-08-2026,26-08-2026,Market Sale,26-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,3,Equity,Designated Person,Anjani Kumar,,39000,0.01%,8000,"1,358,730.00",Sell,31000,0.01%,27-08-2026,27-08-2026,Market Sale,27-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,4,Equity,Designated Person,Snehil Modani,,83613,0.03%,9000,"1,346,110.00",Sell,74613,0.03%,21-08-2026,26-08-2026,Market Sale,26-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,5,Equity,Designated Person,Keyur Kashikar,,110075,0.04%,15000,"2,292,450.00",Sell,95075,0.03%,27-08-2026,27-08-2026,Market Sale,27-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,6,Equity,Designated Person,Rahul Brahmne,,50000,0.02%,25000,"3,858,450.00",Sell,25000,0.01%,27-08-2026,28-08-2026,Market Sale,28-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,7,Equity,Designated Person,Janaki Iyer,,70000,0.02%,36000,0.00,Sell,34000,0.01%,27-08-2026,28-08-2026,Market Sale,28-08-2026,,
TURTLEMINT,Turtlemint Fintech Solutions Limited,Regulation 7 (2),Original,28-Aug-2026 18:04:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_26874_20260828_180408922_WEB.html,544799,TURTLEMINT,NOTLISTED,Prashant Saini,Company Secretary and Compliance Officer,8,Equity,Designated Person,Anjani Kumar,,31000,0.01%,20000,"3,058,640.00",Sell,11000,0.00%,28-08-2026,28-08-2026,Market Sale,28-08-2026,,
RAMCOIND,RAMCO INDUSTRIES LIMITED,Regulation 7 (2),Original,28-Aug-2026 15:49:05,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1560_20260828_154905470_WEB.html,532369,RAMCOIND,NOTLISTED,S BALAMURUGASUNDARAM,Company Secretary and Compliance Officer,1,Equity,Other,N K SHRIKANTAN RAJA (HUF),00350693,17067,0.02%,2530,"872,850.00",Sell,14537,0.02%,26-08-2026,26-08-2026,Market Sale,27-08-2026,,
