Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,52WeekHigh,52WeekLow,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,763.05,891.3,519.1,41.88,800.41,701.87,14.7,0.4,0.4,31-08-2026,02-09-2026,752.1587952705815,760.0,759.6433405239396,2,11,9,0,3,3,3,3,0.0,3795783565.0,3795783565.0,3795783565.0,3795783565.0,0.0,3795783565.0,1,0,0.0,Active,Confirmed Accumulation,759.6433405239396,0.4,Confirmed Accumulation,66496.0,215.0,15.0,147.0,-4.0,-0.28,10.9,0.43,True,20.0,0.571,20,14,20,-3,51,Buy on Breakout
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,1059104595.0,14142368.0,10,09-09-2026,14142368.0,10,1059104595.0,74.89,0.0,0,105.91,1059104595.0,0.0,1059104595.0,0.0,False,False,False,89.22,91.3,28.06,61.32,77.84,54.16,204.1,19.1,19.1,19-06-2026,09-09-2026,70.67,83.34273301732159,74.1110019067655,82,84,2,1,1,5,5,13,235214695.0,235214695.0,731195315.0,731195315.0,1440386675.0,235214695.0,731195315.0,2,0,0.3217,Fresh,Confirmed Accumulation,74.1110019067655,20.4,Late — Poor Entry,2963.0,23.2,75.0,136.0,54.0,1.83,10.9,0.4,True,6.0,3.574,20,26,30,0,76,Strong Buy Setup
MSPL,MSP STEEL & POWER LIMITED,1019689453.0,24335849.0,22,22-06-2026,24335849.0,22,1019689453.0,41.9,0.0,0,101.97,1019689453.0,0.0,1019689453.0,0.0,False,False,False,33.96,46.12,26.25,41.61,35.92,35.69,7.6,-18.9,18.9,04-06-2026,22-06-2026,41.3769,44.71879963320128,41.99769785024887,18,99,81,0,0,0,0,27,0.0,0.0,0.0,0.0,1105365026.0,0.0,0.0,6,0,0.0,Stale,Stale Accumulation,41.99769785024887,-19.1,Late — Poor Entry,1924.0,13.8,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.3,20,21,10,0,51,Buy on Breakout
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,864971904.0,44391600.0,4,03-09-2026,44391600.0,4,864971904.0,19.49,0.0,0,86.5,864971904.0,0.0,864971904.0,0.0,False,False,False,19.64,23.95,18.76,34.39,19.65,29.72,-53.2,0.8,0.8,31-08-2026,03-09-2026,19.436620666666666,19.82350724502777,19.4850355472657,3,11,8,0,4,4,4,4,0.0,864971904.0,864971904.0,864971904.0,864971904.0,0.0,864971904.0,1,0,0.0,Active,Confirmed Accumulation,19.4850355472657,0.8,Confirmed Accumulation,23709.0,20.9,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.365,20,12,5,0,37,Fundamental Watch
DIAMONDYD,Prataap Snacks Limited,595794044.0,507506.0,4,07-08-2026,507506.0,4,595794044.0,1173.96,0.0,0,59.58,595794044.0,0.0,595794044.0,0.0,False,False,False,1108.4,1245.0,858.9,69.75,1164.35,1088.25,11.4,-5.6,5.6,25-06-2026,07-08-2026,1090.0,1179.860001898032,1173.9645324390253,43,78,35,0,0,0,3,4,0.0,0.0,0.0,586966134.0,595794044.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,1173.9645324390253,-5.6,Mature — Wait for Pullback,2661.0,209.0,6.0,19.05,194.0,1.03,3.17,0.06,True,3.87,2.239,25,21,15,-5,56,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,108.63,180.2,86.35,72.34,105.4,111.94,15.7,-0.6,0.6,08-06-2026,11-06-2026,103.75710020989752,107.94740176620421,109.30813008442239,3,95,92,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,109.30813008442239,-0.6,Late — Poor Entry,5124.0,41.1,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.945,25,14,10,0,49,Watchlist
JSL,JINDAL STAINLESS LIMITED,474522751.0,641817.0,1,04-09-2026,641817.0,1,474522751.0,739.34,0.0,0,47.45,474522751.0,0.0,474522751.0,0.0,False,False,False,756.1,884.0,652.25,57.94,727.42,748.99,4.8,2.3,2.3,04-09-2026,04-09-2026,739.3427581382232,739.3427581382232,739.3427581382232,0,7,7,0,3,3,3,3,0.0,1423568253.0,1423568253.0,1423568253.0,1423568253.0,0.0,1423568253.0,1,0,0.0,Fresh,Early Accumulation,739.3427581382232,2.3,Early Accumulation,62318.0,23.2,5.0,1028.0,1.0,7.35,18.0,0.24,True,10.0,0.076,12,18,20,0,50,Buy on Breakout
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,10.77,35.67,10.8,21.07,20.47,26.6,-64.2,-27.3,27.3,12-08-2026,14-08-2026,14.82,14.64,14.808679245283018,2,30,28,0,0,1,5,5,0.0,0.0,14640000.0,235458000.0,235458000.0,0.0,14640000.0,4,0,0.0,Active,Mature Accumulation,14.808679245283018,-27.3,Confirmed Accumulation,747.0,30.2,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,3.153,20,7,0,-2,25,Avoid
NIITLTD,NIIT Limited,142851469.0,1382000.0,8,31-08-2026,1382000.0,8,142851469.0,103.37,0.0,0,14.29,142851469.0,0.0,142851469.0,0.0,False,False,False,92.49,116.4,49.0,34.81,97.37,83.66,42.0,-10.5,10.5,24-08-2026,31-08-2026,93.8346635533857,106.77,103.3657518089725,7,18,11,0,4,8,8,8,0.0,84714461.0,142851469.0,142851469.0,142851469.0,0.0,142851469.0,2,0,0.0,Active,Confirmed Accumulation,103.3657518089725,-10.5,Confirmed Accumulation,1270.0,153.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,1.125,20,8,15,-5,38,Fundamental Watch
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,92.9,112.7,70.55,50.68,89.7,86.65,15.2,5.0,5.0,17-08-2026,18-08-2026,88.49123585958849,88.23788546255507,88.48237731381833,1,25,24,0,0,3,3,3,0.0,0.0,111816242.0,111816242.0,111816242.0,0.0,111816242.0,1,0,0.0,Active,Confirmed Accumulation,88.48237731381833,5.0,Confirmed Accumulation,268.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,4.172,20,0,25,-2,43,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,84.45,185.45,81.95,71.72,90.31,172.86,-46.0,-11.6,11.6,08-06-2026,24-06-2026,121.9935,91.21972,100.13076802447621,16,95,79,0,0,0,0,3,0.0,0.0,0.0,0.0,36654252.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,100.13076802447621,-15.7,Late — Poor Entry,1748.0,31.6,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.622,25,10,0,0,35,Fundamental Watch
