Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LIMITED,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,34.45,41.61,38.44,35.61,9.2,-17.8,17.8,1960.0,14.1,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.942,20,21,10,0,51,Buy on Breakout
EUROPRATIK,Euro Pratik Sales Limited,927141636.0,3499856.0,8,29-05-2026,3499856.0,8,927141636.0,264.91,0.0,0,92.71,927141636.0,0.0,927141636.0,0.0,False,False,False,276.0,70.09,295.49,279.74,15.6,4.2,4.2,2742.0,47.7,-3.0,11.0,3.0,1.05,29.6,0.03,True,24.0,3.381,25,13,15,0,53,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,99.9,72.34,105.74,116.06,-10.9,-8.6,8.6,4737.0,38.0,0.0,42.0,8.0,1.25,9.69,0.06,True,5.0,1.022,25,14,0,0,39,Fundamental Watch
NIITLTD,NIIT Limited,479993631.0,5418000.0,8,09-06-2026,5418000.0,8,479993631.0,88.59,0.0,0,48.0,479993631.0,0.0,479993631.0,0.0,False,False,False,92.5,34.81,97.37,83.92,20.3,4.4,4.4,1266.0,152.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.791,20,8,20,-5,43,Watchlist
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,309399372.0,570298.0,12,17-08-2026,570298.0,12,309399372.0,542.52,0.0,0,30.94,309399372.0,0.0,309399372.0,0.0,False,False,False,439.9,57.33,495.49,502.35,-7.9,-18.9,18.9,978.0,17.3,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,3.164,20,20,0,0,40,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,12.75,21.07,25.62,28.52,-51.1,-13.9,13.9,884.0,35.7,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.664,20,7,0,-2,25,Avoid
APLLTD,Alembic Pharmaceuticals Limited,196758774.0,261110.0,6,18-06-2026,261110.0,6,196758774.0,753.55,0.0,0,19.68,196758774.0,0.0,196758774.0,0.0,False,False,False,814.2,69.61,806.23,795.77,3.5,8.0,8.0,16058.0,20.4,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.123,20,26,30,0,76,Strong Buy Setup
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111796212.0,1263485.0,2,17-08-2026,1263485.0,2,111796212.0,88.48,0.0,0,11.18,111796212.0,0.0,111796212.0,0.0,False,False,False,94.0,50.68,85.73,86.33,11.6,6.2,6.2,269.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,4.156,17,0,25,-2,40,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,88.11,71.72,92.01,203.45,-45.5,-7.8,7.8,1838.0,33.2,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.591,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,471.0,70.55,458.28,434.19,8.5,-0.8,0.8,4051.0,28.4,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.252,25,5,20,0,50,Buy on Breakout
