Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,FirstBuyDate,LastBuyDate,FirstBuyPrice,LastBuyPrice,WeightedAvgBuyPrice,AccumulationDays,DaysSinceFirstBuy,DaysSinceLastBuy,BuyTxn7D,BuyTxn15D,BuyTxn30D,BuyTxn60D,BuyTxn90D,BuyValue7D,BuyValue15D,BuyValue30D,BuyValue60D,BuyValue90D,NetBuyValue7D,NetBuyValue30D,UniquePromotersBuying,UniquePromotersSelling,BuyAcceleration,Freshness,AccumulationStage,PromoterAvgPrice,CMPvsPromoterAvgPct,SignalStage,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,790.35,41.88,801.41,700.37,20.6,4.0,4.0,31-08-2026,02-09-2026,752.1587952705815,760.0,759.6433405239396,2,8,6,1,3,3,3,3,3503448000.0,3795783565.0,3795783565.0,3795783565.0,3795783565.0,3503448000.0,3795783565.0,1,0,0.923,Fresh,Early Accumulation,759.6433405239396,4.0,Early Accumulation,68927.0,223.0,15.0,147.0,-4.0,-0.28,10.9,0.34,True,20.0,0.551,20,14,20,-3,51,Buy on Breakout
MSPL,MSP STEEL & POWER LIMITED,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,34.95,41.61,36.42,35.69,11.3,-16.6,16.6,02-06-2026,22-06-2026,42.298,44.71879963320128,41.995486999151915,20,98,78,0,0,0,0,31,0.0,0.0,0.0,0.0,1258286546.0,0.0,0.0,6,0,0.0,Stale,Stale Accumulation,41.995486999151915,-16.8,Late — Poor Entry,1986.0,14.2,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.865,20,21,10,0,51,Buy on Breakout
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,864971904.0,44391600.0,4,03-09-2026,44391600.0,4,864971904.0,19.49,0.0,0,86.5,864971904.0,0.0,864971904.0,0.0,False,False,False,19.25,34.39,19.75,30.08,-52.3,-1.2,1.2,31-08-2026,03-09-2026,19.436620666666666,19.82350724502777,19.4850355472657,3,8,5,2,4,4,4,4,458484866.0,864971904.0,864971904.0,864971904.0,864971904.0,458484866.0,864971904.0,1,0,0.5301,Fresh,Early Accumulation,19.4850355472657,-1.2,Early Accumulation,23250.0,20.5,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.372,20,12,0,0,32,Fundamental Watch
CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,823889900.0,11320110.0,9,26-08-2026,11320110.0,9,823889900.0,72.78,0.0,0,82.39,823889900.0,0.0,823889900.0,0.0,False,False,False,82.49,61.32,77.05,53.43,182.7,13.3,13.3,19-06-2026,26-08-2026,70.67,80.74,72.54271810256775,68,81,13,0,1,4,4,12,0.0,60232040.0,495980620.0,495980620.0,1205171980.0,0.0,495980620.0,2,0,0.0,Active,Confirmed Accumulation,72.54271810256775,13.7,Mature — Wait for Pullback,2741.0,21.5,75.0,136.0,54.0,1.83,10.9,0.4,True,6.0,3.006,20,26,30,0,76,Strong Buy Setup
DIAMONDYD,Prataap Snacks Limited,595794044.0,507506.0,4,07-08-2026,507506.0,4,595794044.0,1173.96,0.0,0,59.58,595794044.0,0.0,595794044.0,0.0,False,False,False,1129.3,69.75,1167.95,1087.19,11.8,-3.8,3.8,25-06-2026,07-08-2026,1090.0,1179.860001898032,1173.9645324390253,43,75,32,0,0,0,3,4,0.0,0.0,0.0,586966134.0,595794044.0,0.0,0.0,1,0,0.0,Aging,Mature Accumulation,1173.9645324390253,-3.8,Mature — Wait for Pullback,2704.0,212.0,6.0,19.05,194.0,1.03,3.17,0.06,True,3.87,2.203,25,21,15,-5,56,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,109.91,72.34,105.21,112.68,16.6,0.5,0.5,08-06-2026,11-06-2026,103.75710020989752,107.94740176620421,109.30813008442239,3,92,89,0,0,0,0,1,0.0,0.0,0.0,0.0,8348760.0,0.0,0.0,1,0,0.0,Stale,Stale Accumulation,109.30813008442239,0.6,Late — Poor Entry,5173.0,41.5,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.936,25,14,15,0,54,Buy on Breakout
NIITLTD,NIIT Limited,285079344.0,2893000.0,12,31-08-2026,2893000.0,12,285079344.0,98.54,0.0,0,28.51,285079344.0,0.0,285079344.0,0.0,False,False,False,95.34,34.81,97.91,83.73,44.2,-3.2,3.2,08-06-2026,31-08-2026,93.30641025641026,106.77,98.54107984790875,84,92,8,0,6,8,8,8,0.0,134010499.0,142851469.0,142851469.0,142851469.0,0.0,142851469.0,2,0,0.0,Active,Confirmed Accumulation,98.54107984790875,-3.2,Confirmed Accumulation,1307.0,157.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,2.181,20,8,15,-5,38,Fundamental Watch
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,11.39,21.07,21.6,26.94,-60.2,-23.1,23.1,12-08-2026,14-08-2026,14.82,14.64,14.808679245283018,2,27,25,0,0,5,5,5,0.0,0.0,235458000.0,235458000.0,235458000.0,0.0,235458000.0,4,0,0.0,Active,Confirmed Accumulation,14.808679245283018,-23.1,Confirmed Accumulation,791.0,32.0,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.977,20,7,0,-2,25,Avoid
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,94.41,50.68,89.18,86.65,24.5,6.7,6.7,17-08-2026,18-08-2026,88.49123585958849,88.23788546255507,88.48237731381833,1,22,21,0,0,3,3,3,0.0,0.0,111816242.0,111816242.0,111816242.0,0.0,111816242.0,1,0,0.0,Active,Confirmed Accumulation,88.48237731381833,6.7,Confirmed Accumulation,277.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,4.036,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,88.17,71.72,90.79,178.83,-45.9,-7.7,7.7,08-06-2026,24-06-2026,121.9935,91.21972,100.13076802447621,16,92,76,0,0,0,0,6,0.0,0.0,0.0,0.0,104093262.0,0.0,0.0,2,0,0.0,Stale,Stale Accumulation,100.13076802447621,-11.9,Late — Poor Entry,1829.0,33.0,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.594,25,10,0,0,35,Fundamental Watch
