Date,Symbol,PromoterWeightedAvgBuyPrice
2025-09-01,AJMERA,
2025-09-02,AJMERA,
2025-09-03,AJMERA,
2025-09-04,AJMERA,
2025-09-05,AJMERA,
2025-09-08,AJMERA,
2025-09-09,AJMERA,
2025-09-10,AJMERA,
2025-09-11,AJMERA,
2025-09-12,AJMERA,
2025-09-15,AJMERA,
2025-09-16,AJMERA,
2025-09-17,AJMERA,
2025-09-18,AJMERA,
2025-09-19,AJMERA,
2025-09-22,AJMERA,
2025-09-23,AJMERA,
2025-09-24,AJMERA,
2025-09-25,AJMERA,
2025-09-26,AJMERA,
2025-09-29,AJMERA,
2025-09-30,AJMERA,
2025-10-01,AJMERA,
2025-10-03,AJMERA,
2025-10-06,AJMERA,
2025-10-07,AJMERA,
2025-10-08,AJMERA,
2025-10-09,AJMERA,
2025-10-10,AJMERA,
2025-10-13,AJMERA,
2025-10-14,AJMERA,
2025-10-15,AJMERA,
2025-10-16,AJMERA,
2025-10-17,AJMERA,
2025-10-20,AJMERA,
2025-10-21,AJMERA,
2025-10-23,AJMERA,
2025-10-24,AJMERA,
2025-10-27,AJMERA,
2025-10-28,AJMERA,
2025-10-29,AJMERA,
2025-10-30,AJMERA,
2025-10-31,AJMERA,
2025-11-03,AJMERA,
2025-11-04,AJMERA,
2025-11-06,AJMERA,
2025-11-07,AJMERA,
2025-11-10,AJMERA,
2025-11-11,AJMERA,
2025-11-12,AJMERA,
2025-11-13,AJMERA,
2025-11-14,AJMERA,
2025-11-17,AJMERA,
2025-11-18,AJMERA,
2025-11-19,AJMERA,
2025-11-20,AJMERA,
2025-11-21,AJMERA,
2025-11-24,AJMERA,
2025-11-25,AJMERA,
2025-11-26,AJMERA,
2025-11-27,AJMERA,
2025-11-28,AJMERA,
2025-12-01,AJMERA,
2025-12-02,AJMERA,
2025-12-03,AJMERA,
2025-12-04,AJMERA,
2025-12-05,AJMERA,
2025-12-08,AJMERA,
2025-12-09,AJMERA,
2025-12-10,AJMERA,
2025-12-11,AJMERA,
2025-12-12,AJMERA,
2025-12-15,AJMERA,
2025-12-16,AJMERA,
2025-12-17,AJMERA,
2025-12-18,AJMERA,
2025-12-19,AJMERA,
2025-12-22,AJMERA,
2025-12-23,AJMERA,
2025-12-24,AJMERA,
2025-12-26,AJMERA,
2025-12-29,AJMERA,
2025-12-30,AJMERA,
2025-12-31,AJMERA,
2026-01-01,AJMERA,
2026-01-02,AJMERA,
2026-01-05,AJMERA,
2026-01-06,AJMERA,
2026-01-07,AJMERA,
2026-01-08,AJMERA,
2026-01-09,AJMERA,
2026-01-12,AJMERA,
2026-01-13,AJMERA,
2026-01-14,AJMERA,
2026-01-16,AJMERA,
2026-01-19,AJMERA,
2026-01-20,AJMERA,
2026-01-21,AJMERA,
2026-01-22,AJMERA,
2026-01-23,AJMERA,
2026-01-27,AJMERA,
2026-01-28,AJMERA,
2026-01-29,AJMERA,
2026-01-30,AJMERA,
2026-02-02,AJMERA,
2026-02-03,AJMERA,
2026-02-04,AJMERA,
2026-02-05,AJMERA,
2026-02-06,AJMERA,
2026-02-09,AJMERA,
2026-02-10,AJMERA,
2026-02-11,AJMERA,
2026-02-12,AJMERA,
2026-02-13,AJMERA,
2026-02-16,AJMERA,
2026-02-17,AJMERA,
2026-02-18,AJMERA,
2026-02-19,AJMERA,
2026-02-20,AJMERA,
2026-02-23,AJMERA,
2026-02-24,AJMERA,
2026-02-25,AJMERA,
2026-02-26,AJMERA,
2026-02-27,AJMERA,
2026-03-02,AJMERA,
2026-03-04,AJMERA,
2026-03-05,AJMERA,
2026-03-06,AJMERA,
2026-03-09,AJMERA,
2026-03-10,AJMERA,
2026-03-11,AJMERA,
2026-03-12,AJMERA,
2026-03-13,AJMERA,
2026-03-16,AJMERA,
2026-03-17,AJMERA,
2026-03-18,AJMERA,
2026-03-19,AJMERA,
2026-03-20,AJMERA,
2026-03-23,AJMERA,
2026-03-24,AJMERA,
2026-03-25,AJMERA,
2026-03-27,AJMERA,
2026-03-30,AJMERA,
2026-04-01,AJMERA,
2026-04-02,AJMERA,
2026-04-06,AJMERA,
2026-04-07,AJMERA,
2026-04-08,AJMERA,
2026-04-09,AJMERA,
2026-04-10,AJMERA,
2026-04-13,AJMERA,
2026-04-15,AJMERA,
2026-04-16,AJMERA,
2026-04-17,AJMERA,
2026-04-20,AJMERA,
2026-04-21,AJMERA,
2026-04-22,AJMERA,
2026-04-23,AJMERA,
2026-04-24,AJMERA,
2026-04-27,AJMERA,
2026-04-28,AJMERA,
2026-04-29,AJMERA,
2026-04-30,AJMERA,
2026-05-04,AJMERA,
