Symbol,Company Name,Regulation,Type of Submission,Broadcast Date/Time,Details URL,Scrip Code,NSE Symbol,MSEI Symbol,Name of Signatory,Designation of Signatory,Sr. No.,Type of Instrument,Category of Person,Name of Person,CIN/DIN,Securities Held Prior (No.),Securities Held Prior (%),Securities Acquired/Disposed (No.),Securities Acquired/Disposed (Value),Transaction Type,Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Date of Intimation,Exchange,Notes
USHAMART,USHA MARTIN LIMITED,Regulation 7 (2),Original,14-Sep-2026 19:09:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1938_20260914_190916302_WEB.html,517146,USHAMART,NOTLISTED,MANISH AGARWAL,,1,Equity,Promoter Group,Peterhouse Investments Limited,,2600000,0.85%,150000,"73,987,500.00",Sell,2450000,0.80%,09-09-2026,10-09-2026,Market Sale,10-09-2026,,
JUBLINGREA,JUBILANT INGREVIA LIMITED,Regulation 7 (2),Original,14-Sep-2026 13:41:58,https://nsearchives.nseindia.com/corporate/ixbrl/IT_19288_20260914_134158875_WEB.html,543271,JUBLINGREA,NOTLISTED,Deepanjali Gulati,,1,Equity,Trust,Jubilant Ingrevia Employees Welfare Trust,,1533995,0.96%,2587,"1,703,281.00",Sell,1531408,0.96%,11-09-2026,11-09-2026,ESOP,14-09-2026,,
CSLFINANCE,CSL Finance Limited,Regulation 7 (2),Original,14-Sep-2026 10:44:16,https://nsearchives.nseindia.com/corporate/ixbrl/IT_20784_20260914_104416585_WEB.html,530067,CSLFINANCE,NOTLISTED,Ashok Kumar Kathuria,,1,Equity,Promoter,Rohit Gupta HUF,,444686,1.95%,5000,"1,200,000.00",Buy,449686,1.97%,09-09-2026,09-09-2026,Market Purchase,11-09-2026,,
SHAH,SHAH METACORP LIMITED,Regulation 7 (2),Original,13-Sep-2026 00:10:09,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3662_20260913_001009405_WEB.html,533275,SHAH,NOTLISTED,HIRAL PATEL,,1,Equity,Promoter and Director,MONA VIRAL SHAH,02343194,148248448,14.94%,27500000,"129,525,000.00",Buy,175748448,17.23%,10-09-2026,10-09-2026,Conversion of security,12-09-2026,,
MANAPPURAM,MANAPPURAM FINANCE LIMITED,Regulation 7 (2),Original,12-Sep-2026 17:06:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_3317_20260912_170606435_WEB.html,531213,MANAPPURAM,NOTLISTED,APARNA MENON,,1,Equity,Promoter and Director,V.P. Nandakumar,00044512,245904221,26.18%,1718750,"550,000,000.00",Pledge,245904221,26.18%,11-09-2026,11-09-2026,Pledge Creation,12-09-2026,,
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,Regulation 7 (2),Original,12-Sep-2026 14:53:26,https://nsearchives.nseindia.com/corporate/ixbrl/IT_5329_20260912_145326760_WEB.html,531431,SHAKTIPUMP,NOTLISTED,RAVI PATIDAR,,1,Equity,Promoter,SHAKTI SONS TRUST,,22654600,18.36%,12400,"6,095,849.00",Buy,22667000,18.37%,11-09-2026,11-09-2026,Market Purchase,12-09-2026,,
RAMASTEEL,Rama Steel Tubes Limited,Regulation 7 (2),Original,12-Sep-2026 12:38:24,https://nsearchives.nseindia.com/corporate/ixbrl/IT_12986_20260912_123824474_WEB.html,539309,RAMASTEEL,NOTLISTED,Vikas Sharma,,1,Equity,Promoter Group,TARUN DHIR (Partner of M/s Arun Enterprises),,29937243,1.83%,5686447,"22,662,309.00",Sell,24250796,1.48%,09-09-2026,11-09-2026,Market Sale,11-09-2026,,
NCLIND,NCL INDUSTRIES LIMITED,Regulation 7 (2),Original,11-Sep-2026 21:03:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260911_210329996_WEB.html,502168,NCLIND,NOTLISTED,M.DIVYA BHARATHI,,1,Equity,Promoter and Director,Kalidindi Ravi,00720811,3265923,7.22%,800,"141,200.00",Buy,3266723,7.22%,10-09-2026,10-09-2026,Market Purchase,11-09-2026,,
NCLIND,NCL INDUSTRIES LIMITED,Regulation 7 (2),Original,11-Sep-2026 21:03:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260911_210329996_WEB.html,502168,NCLIND,NOTLISTED,M.DIVYA BHARATHI,,2,Equity,Promoter Group,Kakatiya Industries Pvt.Ltd,U24110TG1979PTC002501,644541,1.42%,830,"146,910.00",Buy,645371,1.42%,10-09-2026,10-09-2026,Market Purchase,11-09-2026,,
NCLIND,NCL INDUSTRIES LIMITED,Regulation 7 (2),Original,11-Sep-2026 21:03:30,https://nsearchives.nseindia.com/corporate/ixbrl/IT_2568_20260911_210329996_WEB.html,502168,NCLIND,NOTLISTED,M.DIVYA BHARATHI,,3,Equity,Promoter Group,VIKRAM CHEMICALS PRIVATE LIMITED,U24110TG1977PTC002202,18504,0.04%,260,"46,020.00",Buy,18764,0.04%,10-09-2026,10-09-2026,Market Purchase,11-09-2026,,
