Symbol,CompanyName,ValuePurchased,TotalQty,NumBuyTxn,acqtoDt,AvgPrice,ValueCr,HasPledging,HasMarketSell,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LIMITED,2323681604.0,55331698.0,47,22-06-2026,42.0,232.37,False,False,34.7,41.61,38.67,35.6,8.4,-17.4,17.4,1954.0,14.0,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,11.892,20,21,10,0,51,Buy on Breakout
STYLAMIND,STYLAM INDUSTRIES LIMITED,2097522000.0,932232.0,2,06-05-2026,2250.0,209.75,False,False,3580.0,54.61,3334.72,2524.57,61.8,59.1,59.1,6069.0,35.8,10.0,69.0,39.0,28.41,26.6,0.04,True,21.0,3.456,17,30,30,0,77,Strong Buy Setup
EUROPRATIK,Euro Pratik Sales Limited,1537749962.0,5781036.0,11,29-05-2026,266.0,153.77,False,False,283.9,70.09,294.93,279.96,23.3,6.7,6.7,2932.0,51.0,-3.0,11.0,3.0,1.05,29.6,0.03,True,24.0,5.245,25,13,25,0,63,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,109.31,48.4,False,False,103.75,72.34,106.03,116.69,-9.9,-5.1,5.1,4878.0,39.1,0.0,42.0,8.0,1.25,9.69,0.06,True,5.0,0.992,25,14,0,0,39,Fundamental Watch
NIITLTD,NIIT Limited,479993631.0,5418000.0,8,09-06-2026,88.59,48.0,False,False,95.29,34.81,97.49,84.06,18.3,7.6,7.6,1312.0,158.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.659,20,8,25,-5,48,Watchlist
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,299411228.0,548198.0,11,12-06-2026,546.17,29.94,False,False,458.9,57.33,499.46,504.39,-8.9,-16.0,16.0,1003.0,17.7,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,2.985,20,20,0,0,40,Watchlist
APLLTD,Alembic Pharmaceuticals Limited,242237126.0,321110.0,7,18-06-2026,754.37,24.22,False,False,823.8,69.61,802.93,796.76,2.6,9.2,9.2,16167.0,20.5,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.15,20,26,30,0,76,Strong Buy Setup
GOCOLORS,GO FASHION (INDIA) LIMITED,235953708.0,654259.0,4,03-06-2026,360.64,23.6,False,False,343.55,52.78,348.71,380.52,-8.2,-4.7,4.7,1810.0,33.9,-2.0,61.0,-39.0,3.14,10.6,0.77,True,27.0,1.304,20,11,0,0,31,Fundamental Watch
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,14.81,23.55,False,False,14.15,21.07,26.17,28.74,-48.3,-4.5,4.5,975.0,39.4,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.415,20,7,0,-2,25,Avoid
TRUALT,TRUALT BIOENERGY LIMITED,183533810.0,386412.0,8,12-08-2026,474.97,18.35,False,False,478.0,70.55,460.31,433.98,8.0,0.6,0.6,4111.0,28.8,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.446,25,5,25,0,55,Buy on Breakout
GRMOVER,GRM OVERSEAS LIMITED,158990337.0,1587827.0,9,24-06-2026,100.13,15.9,False,False,90.0,71.72,92.88,206.69,-45.3,-10.1,10.1,1831.0,33.1,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.868,25,10,0,0,35,Fundamental Watch
PNGSREVA,PNGS Reva Diamond Jewellery Limited,138693680.0,370238.0,5,25-06-2026,374.61,13.87,False,False,576.0,63.09,432.87,,40.0,53.8,53.8,1824.0,21.6,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.76,20,24,20,0,64,Buy on Breakout
