Symbol,Company Name,Name of Person,Category of Person,TransactionDate,Transaction,Quantity,Value,Price,Securities Held Prior (No.),Securities Held Prior (%),Securities Held Post (No.),Securities Held Post (%),Date From,Date To,Mode of Acquisition/Disposal,Broadcast Date/Time,Details URL
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,PRIYANKA PADOLE,Promoter Group,2026-09-16,BUY,7522.0,1207286.0,160.50066471683064,100000,0.84%,107522,0.91%,16-09-2026,16-09-2026,Market Purchase,21-Sep-2026 11:49:41,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22451_20260921_114941455_WEB.html
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,PRIYANKA PADOLE,Promoter Group,2026-09-16,BUY,1080.0,174420.0,161.5,107522,0.91%,108602,0.92%,16-09-2026,16-09-2026,Market Purchase,21-Sep-2026 11:49:41,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22451_20260921_114941455_WEB.html
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,PRIYANKA PADOLE,Promoter Group,2026-09-17,BUY,1723.0,277305.0,160.94312246082416,108602,0.92%,110325,0.93%,17-09-2026,17-09-2026,Market Purchase,21-Sep-2026 11:49:41,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22451_20260921_114941455_WEB.html
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,PRIYANKA PADOLE,Promoter Group,2026-09-18,BUY,13587.0,2328713.0,171.3927283432693,110325,0.93%,123912,1.05%,18-09-2026,18-09-2026,Market Purchase,21-Sep-2026 15:43:41,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22451_20260921_154341070_WEB.html
AFFORDABLE,AFFORDABLE ROBOTIC & AUTOMATION LIMITED,PRIYANKA PADOLE,Promoter Group,2026-09-23,BUY,11338.0,2000469.0,176.43931910389838,123912,1.05%,135250,1.14%,23-09-2026,23-09-2026,Market Purchase,24-Sep-2026 20:09:39,https://nsearchives.nseindia.com/corporate/ixbrl/IT_22451_20260924_200939375_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-17,BUY,454376.0,39869975.0,87.74665695371235,161915052,63.06%,162369428,63.23%,14-08-2026,17-08-2026,Market Purchase,17-Aug-2026 19:34:08,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260817_193408112_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-19,BUY,115719.0,10337171.0,89.32993717539902,162369428,63.23%,162485147,63.28%,18-08-2026,19-08-2026,Market Purchase,19-Aug-2026 19:40:50,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260819_194050349_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-08-25,BUY,129136.0,12261881.0,94.95323534877959,162485147,63.28%,162614283,63.33%,25-08-2026,25-08-2026,Market Purchase,26-Aug-2026 19:34:06,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260826_193406018_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-01,BUY,216969.0,21475422.0,98.9792182293323,162614283,63.33%,162831252,63.41%,31-08-2026,01-09-2026,Market Purchase,01-Sep-2026 19:19:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260901_191949048_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-02,BUY,9495.0,940827.0,99.08657187993681,162831252,63.41%,162840747,63.42%,02-09-2026,02-09-2026,Market Purchase,03-Sep-2026 20:35:49,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260903_203549258_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-02,BUY,9495.0,940827.0,99.08657187993681,162831252,63.41%,162840747,63.42%,02-09-2026,02-09-2026,Market Purchase,03-Sep-2026 20:25:22,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260903_202522327_WEB.html
ALEMBICLTD,Alembic Limited,Nirayu  Private Limited,Promoter Group,2026-09-16,BUY,120609.0,12179344.0,100.98204943246358,162840747,63.42%,162961356,63.46%,15-09-2026,16-09-2026,Market Purchase,17-Sep-2026 19:36:18,https://nsearchives.nseindia.com/corporate/ixbrl/IT_1817_20260917_193618384_WEB.html
