Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
MSPL,MSP STEEL & POWER LTD,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,34.59,41.61,37.57,35.62,9.1,-17.5,17.5,1967.0,14.1,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.921,20,21,10,0,51,Buy on Breakout
NIITLTD,NIIT Limited,488834601.0,5512220.0,10,24-08-2026,5512220.0,10,488834601.0,88.68,0.0,0,48.88,488834601.0,0.0,488834601.0,0.0,False,False,False,102.94,34.81,97.96,83.75,39.4,16.1,16.1,1410.0,170.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.467,20,8,30,-5,53,Buy on Breakout
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,110.06,72.34,105.71,114.47,-0.7,0.7,0.7,5177.0,41.5,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.935,25,14,10,0,49,Watchlist
EUROPRATIK,Euro Pratik Sales Limited,290487587.0,1119688.0,4,29-05-2026,1119688.0,4,290487587.0,259.44,0.0,0,29.05,290487587.0,0.0,290487587.0,0.0,False,False,False,254.05,70.09,294.76,278.19,-1.8,-2.1,2.1,2598.0,45.2,-3.0,11.0,3.0,1.05,29.6,0.03,True,24.0,1.118,25,13,5,0,43,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,12.99,21.07,24.07,27.89,-44.5,-12.3,12.3,902.0,36.5,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.611,20,7,0,-2,25,Avoid
APLLTD,Alembic Pharmaceuticals Limited,151280422.0,201110.0,5,18-06-2026,201110.0,5,151280422.0,752.23,0.0,0,15.13,151280422.0,0.0,151280422.0,0.0,False,False,False,824.0,69.61,815.43,792.85,8.0,9.5,9.5,16215.0,20.6,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.093,20,26,30,0,76,Strong Buy Setup
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,136495169.0,245394.0,12,26-08-2026,245394.0,12,136495169.0,556.23,0.0,0,13.65,136495169.0,0.0,136495169.0,0.0,False,False,False,463.15,57.33,483.96,497.46,3.5,-16.7,16.7,1025.0,18.1,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,1.332,20,20,5,0,45,Watchlist
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,100.1,50.68,87.7,86.5,22.1,13.1,13.1,288.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.882,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,87.76,71.72,91.67,193.41,-45.6,-8.1,8.1,1818.0,32.8,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.598,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,433.85,70.55,451.75,434.25,6.0,-8.6,8.6,3725.0,26.1,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.274,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,382.0,42.36,333.2,295.97,44.8,9.1,9.1,328.0,11.0,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.095,17,21,25,-2,61,Buy on Breakout
AEROENTER,AEROFLEX ENTERPRISES LIMITED,89594180.0,847500.0,5,17-06-2026,847500.0,5,89594180.0,105.72,0.0,0,8.96,89594180.0,0.0,89594180.0,0.0,False,False,False,142.66,51.59,128.86,96.54,81.5,34.9,34.9,1615.0,16.1,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.555,20,15,30,-2,63,Buy on Breakout
PNGSREVA,PNGS Reva Diamond Jewellery Limited,80168880.0,210238.0,4,25-06-2026,205238.0,3,80168880.0,390.61,5000.0,1,8.02,80168880.0,0.0,80168880.0,0.0,False,False,False,542.9,63.09,460.42,,31.9,39.0,39.0,1718.0,20.4,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.467,20,24,20,0,64,Buy on Breakout
GANESHCP,Ganesh Consumer Products Limited,75733991.0,371000.0,5,30-06-2026,371000.0,5,75733991.0,204.13,0.0,0,7.57,75733991.0,0.0,75733991.0,0.0,False,False,False,163.49,64.08,177.94,201.16,-10.3,-19.9,19.9,662.0,14.6,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.144,20,25,0,0,45,Watchlist
