Symbol,CompanyName,ValuePurchased,ReportedBuyQty,ReportedBuyTxn,acqtoDt,TotalQty,NumBuyTxn,PricedValuePurchased,AvgPrice,MissingValueQty,MissingValueTxn,ValueCr,MarketBuyValue,MarketSellValue,NetBuyValue,SellBuyRatioPct,HasMarketSell,SellBuyExclusion,HasPledging,LastPrice,PromoHolding,DMA50,DMA200,SixMonthReturn,PriceDiffPct,AbsDiffPct,MarketCapCr,PE,RevGrowthPct,EBITDAGrowthPct,PATGrowthPct,EPSGrowthPct,ROCEPct,DE_Ratio,OCFPositive,OPMPct,PromoConvictionPct,ScorePromo,ScoreFund,ScoreTech,ScoreRisk,Score,Category
ASTERDM,Aster DM Quality Care Limited,3795783565.0,4996797.0,3,02-09-2026,4996797.0,3,3795783565.0,759.64,0.0,0,379.58,3795783565.0,0.0,3795783565.0,0.0,False,False,False,787.0,41.88,800.36,698.66,20.2,3.6,3.6,68784.0,222.0,15.0,147.0,-4.0,-0.28,10.8,0.31,True,20.0,0.552,20,14,20,-3,51,Buy on Breakout
MSPL,MSP STEEL & POWER LIMITED,1164730334.0,27790849.0,24,22-06-2026,27790849.0,24,1164730334.0,41.91,0.0,0,116.47,1164730334.0,0.0,1164730334.0,0.0,False,False,False,35.34,41.61,36.79,35.69,11.2,-15.7,15.7,1997.0,14.3,4.0,53.0,890.0,0.39,9.71,0.31,True,6.0,5.832,20,21,10,0,51,Buy on Breakout
DIAMONDYD,Prataap Snacks Limited,655822919.0,558463.0,5,07-08-2026,558463.0,5,655822919.0,1174.34,0.0,0,65.58,655822919.0,0.0,655822919.0,0.0,False,False,False,1159.8,69.75,1167.29,1085.99,7.9,-1.2,1.2,2756.0,216.0,6.0,19.05,194.0,1.03,3.08,0.06,True,3.87,2.38,25,21,15,-5,56,Buy on Breakout
IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,609415178.0,31500000.0,3,02-09-2026,31500000.0,3,609415178.0,19.35,0.0,0,60.94,609415178.0,0.0,609415178.0,0.0,False,False,False,19.67,34.39,19.88,30.44,-52.8,1.7,1.7,23794.0,21.0,-11.0,452.0,30.0,0.22,7.28,0.74,False,37.0,0.256,20,12,5,0,37,Fundamental Watch
THOMASCOOK,THOMAS COOK (INDIA) LIMITED,483974535.0,4427617.0,4,11-06-2026,4427617.0,4,483974535.0,109.31,0.0,0,48.4,483974535.0,0.0,483974535.0,0.0,False,False,False,106.31,72.34,105.1,113.3,3.3,-2.7,2.7,5139.0,41.2,0.0,42.0,8.0,1.25,9.71,0.06,True,5.0,0.942,25,14,10,0,49,Watchlist
NIITLTD,NIIT Limited,443188525.0,4613000.0,14,31-08-2026,4613000.0,14,443188525.0,96.07,0.0,0,44.32,443188525.0,0.0,443188525.0,0.0,False,False,False,97.57,34.81,98.03,83.78,36.7,1.6,1.6,1356.0,163.0,34.0,-2.0,-78.0,0.79,-0.32,0.0,False,-2.2,3.268,20,8,20,-5,43,Watchlist
SUMEETINDS,SUMEET INDUSTRIES LIMITED,235458000.0,15900000.0,5,14-08-2026,15900000.0,5,235458000.0,14.81,0.0,0,23.55,235458000.0,0.0,235458000.0,0.0,False,False,False,11.44,21.07,22.59,27.29,-58.3,-22.8,22.8,792.0,32.0,9.0,8.47,128.0,0.02,14.4,0.76,False,3.11,2.973,20,7,0,-2,25,Avoid
JARO,JARO INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH LIMITED,115497637.0,208480.0,10,26-08-2026,208480.0,10,115497637.0,554.0,0.0,0,11.55,115497637.0,0.0,115497637.0,0.0,False,False,False,454.4,57.33,476.3,493.17,2.4,-18.0,18.0,997.0,17.6,13.0,15.0,35.0,5.02,22.1,0.02,True,21.0,1.158,20,20,5,0,45,Watchlist
JAYSREETEA,JAY SHREE TEA & INDUSTRIES LTD,111816242.0,1263712.0,3,18-08-2026,1263712.0,3,111816242.0,88.48,0.0,0,11.18,111816242.0,0.0,111816242.0,0.0,False,False,False,99.31,50.68,88.6,86.63,21.4,12.2,12.2,282.0,,6.0,5.54,-147.0,-2.14,0.93,1.09,False,2.73,3.965,20,0,30,-2,48,Watchlist
GRMOVER,GRM OVERSEAS LIMITED,108709329.0,1137827.0,6,24-06-2026,1137827.0,6,108709329.0,95.54,0.0,0,10.87,108709329.0,0.0,108709329.0,0.0,False,False,False,85.81,71.72,91.02,184.53,-46.6,-10.2,10.2,1779.0,32.1,39.0,31.0,8.0,0.9,11.3,0.67,False,9.0,0.611,25,10,0,0,35,Fundamental Watch
TRUALT,TRUALT BIOENERGY LIMITED,102230903.0,215306.0,5,12-08-2026,215306.0,5,102230903.0,474.82,0.0,0,10.22,102230903.0,0.0,102230903.0,0.0,False,False,False,426.4,70.55,446.6,433.69,6.2,-10.2,10.2,3683.0,25.8,2.0,127.0,-14.0,6.41,9.89,1.05,False,21.0,0.277,25,5,10,0,40,Watchlist
PONNIERODE,PONNI SUGARS (ERODE) LIMITED,101498680.0,290000.0,1,17-08-2026,290000.0,1,101498680.0,350.0,0.0,0,10.15,101498680.0,0.0,101498680.0,0.0,False,False,False,398.65,42.36,340.79,298.55,46.1,13.9,13.9,333.0,11.1,22.0,-1.78,175.0,-1.43,7.27,0.0,True,-1.94,3.048,17,21,25,-2,61,Buy on Breakout
AEROENTER,AEROFLEX ENTERPRISES LIMITED,89594180.0,847500.0,5,17-06-2026,847500.0,5,89594180.0,105.72,0.0,0,8.96,89594180.0,0.0,89594180.0,0.0,False,False,False,142.86,51.59,129.44,97.89,82.1,35.1,35.1,1599.0,15.9,152.0,-23.0,955.0,8.07,3.05,0.0,False,-831.0,0.56,20,15,30,-2,63,Buy on Breakout
ALEMBICLTD,Alembic Limited,84885276.0,925695.0,5,02-09-2026,925695.0,5,84885276.0,91.7,0.0,0,8.49,84885276.0,0.0,84885276.0,0.0,False,False,False,109.51,70.88,91.11,92.04,19.4,19.4,19.4,2885.0,23.6,8.0,14.0,-14.0,0.57,16.9,0.01,True,30.0,0.294,25,13,25,0,63,Buy on Breakout
GANESHCP,GANESH CONSUMER PRODUCTS LIMITED,83735000.0,419200.0,7,02-09-2026,419200.0,7,83735000.0,199.75,0.0,0,8.37,83735000.0,0.0,83735000.0,0.0,False,False,False,168.82,64.08,175.05,198.44,-4.1,-15.5,15.5,696.0,15.4,-1.0,21.0,45.0,3.1,19.4,0.07,True,11.0,1.203,20,25,0,0,45,Watchlist
PNGSREVA,PNGS Reva Diamond Jewellery Limited,80168880.0,210238.0,4,25-06-2026,205238.0,3,80168880.0,390.61,5000.0,1,8.02,80168880.0,0.0,80168880.0,0.0,False,False,False,516.3,63.09,473.43,,25.4,32.2,32.2,1616.0,19.1,581.0,34.0,881.0,8.58,22.0,0.33,False,29.0,0.496,20,24,20,0,64,Buy on Breakout
APLLTD,Alembic Pharmaceuticals Limited,76922116.0,103110.0,3,18-06-2026,103110.0,3,76922116.0,746.02,0.0,0,7.69,76922116.0,0.0,76922116.0,0.0,False,False,False,803.65,69.61,820.86,790.48,13.0,7.7,7.7,15755.0,20.0,16.0,346.0,88.0,10.02,12.3,0.21,True,19.0,0.049,20,26,25,0,71,Strong Buy Setup
AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,73623440.0,641000.0,4,04-06-2026,641000.0,4,73623440.0,114.86,0.0,0,7.36,73623440.0,0.0,73623440.0,0.0,False,False,False,115.45,69.74,124.63,310.06,-10.3,0.5,0.5,2332.0,20.1,18.0,46.0,-4.0,1.17,14.2,0.46,False,38.0,0.316,25,13,5,0,43,Watchlist
THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,72054758.0,13860.0,6,31-08-2026,13860.0,6,72054758.0,5198.76,0.0,0,7.21,72054758.0,0.0,72054758.0,0.0,False,False,False,5295.0,67.16,5871.71,4315.18,33.7,1.9,1.9,16565.0,42.2,83.0,145.0,264.0,27.38,25.5,0.64,True,5.0,0.044,20,32,20,0,72,Strong Buy Setup
STEL,STEL HOLDINGS LIMITED,60400481.0,104000.0,44,31-08-2026,104000.0,44,60400481.0,580.77,0.0,0,6.04,60400481.0,0.0,60400481.0,0.0,False,False,False,606.95,64.68,573.77,508.56,22.9,4.5,4.5,1111.0,56.6,21.0,-0.11,23.0,-0.07,1.58,0.0,False,-110.0,0.544,20,15,25,-2,58,Buy on Breakout
HCLTECH,HCL Technologies Limited,52192113.0,47261.0,1,12-06-2026,47261.0,1,52192113.0,1104.34,0.0,0,5.22,52192113.0,0.0,52192113.0,0.0,False,False,False,1319.0,60.82,1262.64,1391.74,-5.0,19.4,19.4,353835.0,19.5,7.0,4158.0,44.0,25.89,53.4,0.04,True,29.0,0.001,12,30,10,0,52,Buy on Breakout
NAVA,NAVA LIMITED,49921170.0,88000.0,2,26-08-2026,88000.0,2,49921170.0,567.29,0.0,0,4.99,49921170.0,0.0,49921170.0,0.0,False,False,False,557.2,48.85,578.61,583.44,-6.4,-1.8,1.8,15866.0,22.7,18.0,152.0,61.0,9.39,16.5,0.01,True,29.0,0.031,12,30,0,0,42,Watchlist
AURUM,Aurum PropTech Limited,49536217.0,255000.0,12,29-06-2026,255000.0,12,49536217.0,194.26,0.0,0,4.95,49536217.0,0.0,49536217.0,0.0,False,False,False,224.76,50.34,227.33,190.33,25.2,15.7,15.7,1642.0,255.0,-48.0,-3.0,2250.0,6.59,1.28,0.01,False,-5760.0,0.301,20,10,25,-5,50,Buy on Breakout
NCLIND,NCL INDUSTRIES LIMITED,49314736.0,280112.0,32,01-09-2026,280112.0,32,49314736.0,176.05,0.0,0,4.93,49314736.0,0.0,49314736.0,0.0,False,False,False,177.36,44.48,181.11,185.06,-4.5,0.7,0.7,797.0,6.42,4.0,40.0,191.0,3.81,14.6,0.25,True,12.0,0.619,20,21,5,0,46,Watchlist
