Date,Symbol,PromoterWeightedAvgBuyPrice
2026-07-16,ALEMBICLTD,
2026-07-17,ALEMBICLTD,
2026-07-20,ALEMBICLTD,
2026-07-21,ALEMBICLTD,
2026-07-22,ALEMBICLTD,
2026-07-23,ALEMBICLTD,
2026-07-24,ALEMBICLTD,
2026-07-27,ALEMBICLTD,
2026-07-28,ALEMBICLTD,
2026-07-29,ALEMBICLTD,
2026-07-30,ALEMBICLTD,
2026-07-31,ALEMBICLTD,
2026-08-03,ALEMBICLTD,
2026-08-04,ALEMBICLTD,
2026-08-05,ALEMBICLTD,
2026-08-06,ALEMBICLTD,
2026-08-07,ALEMBICLTD,
2026-08-10,ALEMBICLTD,
2026-08-11,ALEMBICLTD,
2026-08-12,ALEMBICLTD,
2026-08-13,ALEMBICLTD,
2026-08-14,ALEMBICLTD,
2026-08-17,ALEMBICLTD,87.7467
2026-08-18,ALEMBICLTD,87.7467
2026-08-19,ALEMBICLTD,88.068
2026-08-20,ALEMBICLTD,88.068
2026-08-21,ALEMBICLTD,88.068
2026-08-24,ALEMBICLTD,88.068
2026-08-25,ALEMBICLTD,89.3396
2026-08-26,ALEMBICLTD,89.3396
2026-08-28,ALEMBICLTD,89.3396
2026-08-31,ALEMBICLTD,89.3396
2026-09-01,ALEMBICLTD,91.6224
2026-09-02,ALEMBICLTD,91.774
2026-09-03,ALEMBICLTD,91.774
2026-09-04,ALEMBICLTD,91.774
2026-09-07,ALEMBICLTD,91.774
2026-09-08,ALEMBICLTD,91.774
2026-09-09,ALEMBICLTD,91.774
2026-09-10,ALEMBICLTD,91.774
2026-09-11,ALEMBICLTD,91.774
2026-09-15,ALEMBICLTD,91.774
2026-09-16,ALEMBICLTD,92.8259
2026-09-17,ALEMBICLTD,92.8259
2026-09-18,ALEMBICLTD,92.8259
2026-07-16,AMANTA,
2026-07-17,AMANTA,
2026-07-20,AMANTA,
2026-07-21,AMANTA,
2026-07-22,AMANTA,
2026-07-23,AMANTA,
2026-07-24,AMANTA,
2026-07-27,AMANTA,
2026-07-28,AMANTA,
2026-07-29,AMANTA,
2026-07-30,AMANTA,
2026-07-31,AMANTA,
2026-08-03,AMANTA,
2026-08-04,AMANTA,
2026-08-05,AMANTA,
2026-08-06,AMANTA,
2026-08-07,AMANTA,
2026-08-10,AMANTA,
2026-08-11,AMANTA,
2026-08-12,AMANTA,
2026-08-13,AMANTA,
2026-08-14,AMANTA,
2026-08-17,AMANTA,
2026-08-18,AMANTA,
2026-08-19,AMANTA,
2026-08-20,AMANTA,
2026-08-21,AMANTA,
2026-08-24,AMANTA,
2026-08-25,AMANTA,
2026-08-26,AMANTA,
2026-08-28,AMANTA,
2026-08-31,AMANTA,
2026-09-01,AMANTA,
2026-09-02,AMANTA,
2026-09-03,AMANTA,
2026-09-04,AMANTA,
2026-09-07,AMANTA,
2026-09-08,AMANTA,
2026-09-09,AMANTA,
2026-09-10,AMANTA,
2026-09-11,AMANTA,
2026-09-15,AMANTA,
2026-09-16,AMANTA,
2026-09-17,AMANTA,
2026-09-18,AMANTA,
2026-07-16,APLLTD,
2026-07-17,APLLTD,
2026-07-20,APLLTD,
2026-07-21,APLLTD,
2026-07-22,APLLTD,
2026-07-23,APLLTD,
2026-07-24,APLLTD,
2026-07-27,APLLTD,
2026-07-28,APLLTD,
2026-07-29,APLLTD,
2026-07-30,APLLTD,
2026-07-31,APLLTD,
2026-08-03,APLLTD,
2026-08-04,APLLTD,
2026-08-05,APLLTD,
2026-08-06,APLLTD,
2026-08-07,APLLTD,
2026-08-10,APLLTD,
2026-08-11,APLLTD,
2026-08-12,APLLTD,
2026-08-13,APLLTD,
2026-08-14,APLLTD,
2026-08-17,APLLTD,
2026-08-18,APLLTD,
2026-08-19,APLLTD,
2026-08-20,APLLTD,
2026-08-21,APLLTD,
2026-08-24,APLLTD,
2026-08-25,APLLTD,
2026-08-26,APLLTD,
2026-08-28,APLLTD,
2026-08-31,APLLTD,
2026-09-01,APLLTD,
2026-09-02,APLLTD,
2026-09-03,APLLTD,
2026-09-04,APLLTD,
