Symbol,PromoterEntity,WindowDays,BuyTransactions,BuyValue,SellTransactions,SellValue,NetBuyValue,FirstTransactionDate,LastTransactionDate
ALEMBICLTD,Nirayu Private Limited,7,0,0.0,0,0.0,0.0,01-09-2026,02-09-2026
ALEMBICLTD,Nirayu Private Limited,30,3,23357076.0,0,0.0,23357076.0,01-09-2026,02-09-2026
ALEMBICLTD,Nirayu Private Limited,90,3,23357076.0,0,0.0,23357076.0,01-09-2026,02-09-2026
APLLTD,Nirayu Private Limited,7,0,0.0,0,0.0,0.0,11-06-2026,18-06-2026
APLLTD,Nirayu Private Limited,30,0,0.0,0,0.0,0.0,11-06-2026,18-06-2026
APLLTD,Nirayu Private Limited,90,2,20970242.0,0,0.0,20970242.0,11-06-2026,18-06-2026
ARSSBL,Asha Biyani,7,0,0.0,0,0.0,0.0,16-06-2026,16-06-2026
ARSSBL,Asha Biyani,30,0,0.0,0,0.0,0.0,16-06-2026,16-06-2026
ARSSBL,Asha Biyani,90,2,21801382.0,0,0.0,21801382.0,16-06-2026,16-06-2026
AVONMORE,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,7,4,2767898.0,0,0.0,2767898.0,10-08-2026,10-09-2026
AVONMORE,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,30,13,8467225.0,0,0.0,8467225.0,10-08-2026,10-09-2026
AVONMORE,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,90,14,11853346.0,0,0.0,11853346.0,10-08-2026,10-09-2026
BAJAJHCARE,ANIL CHAMPALAL JAIN,7,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
BAJAJHCARE,ANIL CHAMPALAL JAIN,30,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
BAJAJHCARE,ANIL CHAMPALAL JAIN,90,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
BERGEPAINT,Mr Kanwardip Singh Dhingra,7,1,9599954.0,0,0.0,9599954.0,07-09-2026,07-09-2026
BERGEPAINT,Mr Kanwardip Singh Dhingra,30,1,9599954.0,0,0.0,9599954.0,07-09-2026,07-09-2026
BERGEPAINT,Mr Kanwardip Singh Dhingra,90,1,9599954.0,0,0.0,9599954.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Anshana Sawhney,7,1,7197659.0,0,0.0,7197659.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Anshana Sawhney,30,1,7197659.0,0,0.0,7197659.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Anshana Sawhney,90,1,7197659.0,0,0.0,7197659.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Jessima Kumar,7,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Jessima Kumar,30,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Jessima Kumar,90,1,12030894.0,0,0.0,12030894.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,7,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,30,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,Ms Sunaina Kohli,90,1,7193875.0,0,0.0,7193875.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,7,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,30,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BERGEPAINT,MsRishma Kaur,90,1,12413936.0,0,0.0,12413936.0,07-09-2026,07-09-2026
BHAGERIA,Aditya Bhageria,7,0,0.0,0,0.0,0.0,26-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,30,1,2228700.0,0,0.0,2228700.0,26-08-2026,26-08-2026
BHAGERIA,Aditya Bhageria,90,1,2228700.0,0,0.0,2228700.0,26-08-2026,26-08-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,7,0,0.0,0,0.0,0.0,05-08-2026,05-08-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,30,0,0.0,0,0.0,0.0,05-08-2026,05-08-2026
BMWVENTLTD,SHIVANSH KISHOREPURIA,90,2,10215856.0,0,0.0,10215856.0,05-08-2026,05-08-2026
CHEMBOND,Raunaq Sameer Shah,7,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
CHEMBOND,Raunaq Sameer Shah,30,2,923894.0,0,0.0,923894.0,03-09-2026,03-09-2026
CHEMBOND,Raunaq Sameer Shah,90,2,923894.0,0,0.0,923894.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,7,0,0.0,0,0.0,0.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,30,2,4196480.0,0,0.0,4196480.0,03-09-2026,03-09-2026
CHEMBOND,S an N Ventures Private Limited,90,2,4196480.0,0,0.0,4196480.0,03-09-2026,03-09-2026
CHEMBONDCH,MAMTA N SHAH,7,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,30,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,MAMTA N SHAH,90,1,4715000.0,0,0.0,4715000.0,06-08-2026,06-08-2026
CHEMBONDCH,NIRMAL V SHAH,7,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,NIRMAL V SHAH,30,0,0.0,0,0.0,0.0,06-08-2026,06-08-2026
CHEMBONDCH,NIRMAL V SHAH,90,1,2300000.0,0,0.0,2300000.0,06-08-2026,06-08-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,7,1,235214695.0,0,0.0,235214695.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,30,2,437948990.0,0,0.0,437948990.0,19-06-2026,09-09-2026
CONFIPET,CONFIDENCE LPG BOTTLING PRIVATE LIMITED,90,7,895676560.0,0,0.0,895676560.0,19-06-2026,09-09-2026
CONFIPET,Essenn LPG Bottling Private Limited,7,0,0.0,0,0.0,0.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,30,1,60232040.0,0,0.0,60232040.0,29-06-2026,26-08-2026
CONFIPET,Essenn LPG Bottling Private Limited,90,3,210103080.0,0,0.0,210103080.0,29-06-2026,26-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,7,0,0.0,0,0.0,0.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,30,0,0.0,0,0.0,0.0,25-06-2026,07-08-2026
DIAMONDYD,Authum Investment & Infrastructure Limited,90,3,586659279.0,0,0.0,586659279.0,25-06-2026,07-08-2026
DOLLAR,VK Mercantile Private Limited,7,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,30,0,0.0,0,0.0,0.0,24-06-2026,24-06-2026
DOLLAR,VK Mercantile Private Limited,90,1,14833500.0,0,0.0,14833500.0,24-06-2026,24-06-2026
EIEL,MANISH JAIN,7,0,0.0,0,0.0,0.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,30,2,11966478.0,0,0.0,11966478.0,01-09-2026,02-09-2026
EIEL,MANISH JAIN,90,2,11966478.0,0,0.0,11966478.0,01-09-2026,02-09-2026
EIEL,Manish Jain,7,0,0.0,0,0.0,0.0,31-08-2026,31-08-2026
EIEL,Manish Jain,30,1,1464316.0,0,0.0,1464316.0,31-08-2026,31-08-2026
EIEL,Manish Jain,90,1,1464316.0,0,0.0,1464316.0,31-08-2026,31-08-2026
GANDHAR,Ramesh Babulal Parekh,7,2,13278006.0,0,0.0,13278006.0,16-06-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,30,2,13278006.0,0,0.0,13278006.0,16-06-2026,08-09-2026
GANDHAR,Ramesh Babulal Parekh,90,3,21254611.0,0,0.0,21254611.0,16-06-2026,08-09-2026
GANESHCP,MANISH MIMANI,7,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,30,0,0.0,0,0.0,0.0,19-06-2026,19-06-2026
GANESHCP,MANISH MIMANI,90,1,9969935.0,0,0.0,9969935.0,19-06-2026,19-06-2026
GANESHCP,Manish Mimani,7,0,0.0,0,0.0,0.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,30,2,8001009.0,0,0.0,8001009.0,23-06-2026,02-09-2026
GANESHCP,Manish Mimani,90,4,23998951.0,0,0.0,23998951.0,23-06-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,7,0,0.0,0,0.0,0.0,11-06-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,30,14,18176355.0,0,0.0,18176355.0,11-06-2026,02-09-2026
GOKUL,Bhikhiben Balvantsinh Rajput,90,20,19366913.0,0,0.0,19366913.0,11-06-2026,02-09-2026
GRMOVER,Atul Garg,7,0,0.0,0,0.0,0.0,11-06-2026,12-06-2026
GRMOVER,Atul Garg,30,0,0.0,0,0.0,0.0,11-06-2026,12-06-2026
GRMOVER,Atul Garg,90,0,0.0,0,0.0,0.0,11-06-2026,12-06-2026
GRMOVER,Mamta Garg,7,0,0.0,0,0.0,0.0,11-06-2026,24-06-2026
GRMOVER,Mamta Garg,30,0,0.0,0,0.0,0.0,11-06-2026,24-06-2026
GRMOVER,Mamta Garg,90,3,36654252.0,0,0.0,36654252.0,11-06-2026,24-06-2026
HCLTECH,Vama Sundari Investments (Delhi) Private Limited,7,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
HCLTECH,Vama Sundari Investments (Delhi) Private Limited,30,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
HCLTECH,Vama Sundari Investments (Delhi) Private Limited,90,0,0.0,0,0.0,0.0,12-06-2026,12-06-2026
INDIQUBE,MEGHNA AGARWAL,7,0,0.0,0,0.0,0.0,09-06-2026,24-06-2026
INDIQUBE,MEGHNA AGARWAL,30,0,0.0,0,0.0,0.0,09-06-2026,24-06-2026
INDIQUBE,MEGHNA AGARWAL,90,2,1358369.0,0,0.0,1358369.0,09-06-2026,24-06-2026
INDORAMA,URMILA LOHIA,7,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
INDORAMA,URMILA LOHIA,30,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
INDORAMA,URMILA LOHIA,90,2,31393588.0,0,0.0,31393588.0,08-09-2026,09-09-2026
JINDALSTEL,Beaufield Holdings Limited,7,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,30,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,Beaufield Holdings Limited,90,0,0.0,0,0.0,0.0,18-06-2026,18-06-2026
JINDALSTEL,JSL Overseas Limited,7,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,30,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
JINDALSTEL,JSL Overseas Limited,90,0,0.0,0,0.0,0.0,07-07-2026,07-07-2026
