Date,Symbol,PromoterWeightedAvgBuyPrice
2025-08-29,AEROENTER,
2025-09-01,AEROENTER,
2025-09-02,AEROENTER,
2025-09-03,AEROENTER,
2025-09-04,AEROENTER,
2025-09-05,AEROENTER,
2025-09-08,AEROENTER,
2025-09-09,AEROENTER,
2025-09-10,AEROENTER,
2025-09-11,AEROENTER,
2025-09-12,AEROENTER,
2025-09-15,AEROENTER,
2025-09-16,AEROENTER,
2025-09-17,AEROENTER,
2025-09-18,AEROENTER,
2025-09-19,AEROENTER,
2025-09-22,AEROENTER,
2025-09-23,AEROENTER,
2025-09-24,AEROENTER,
2025-09-25,AEROENTER,
2025-09-26,AEROENTER,
2025-09-29,AEROENTER,
2025-09-30,AEROENTER,
2025-10-01,AEROENTER,
2025-10-03,AEROENTER,
2025-10-06,AEROENTER,
2025-10-07,AEROENTER,
2025-10-08,AEROENTER,
2025-10-09,AEROENTER,
2025-10-10,AEROENTER,
2025-10-13,AEROENTER,
2025-10-14,AEROENTER,
2025-10-15,AEROENTER,
2025-10-16,AEROENTER,
2025-10-17,AEROENTER,
2025-10-20,AEROENTER,
2025-10-21,AEROENTER,
2025-10-23,AEROENTER,
2025-10-24,AEROENTER,
2025-10-27,AEROENTER,
2025-10-28,AEROENTER,
2025-10-29,AEROENTER,
2025-10-30,AEROENTER,
2025-10-31,AEROENTER,
2025-11-03,AEROENTER,
2025-11-04,AEROENTER,
2025-11-06,AEROENTER,
2025-11-07,AEROENTER,
2025-11-10,AEROENTER,
2025-11-11,AEROENTER,
2025-11-12,AEROENTER,
2025-11-13,AEROENTER,
2025-11-14,AEROENTER,
2025-11-17,AEROENTER,
2025-11-18,AEROENTER,
2025-11-19,AEROENTER,
2025-11-20,AEROENTER,
2025-11-21,AEROENTER,
2025-11-24,AEROENTER,
2025-11-25,AEROENTER,
2025-11-26,AEROENTER,
2025-11-27,AEROENTER,
2025-11-28,AEROENTER,
2025-12-01,AEROENTER,
2025-12-02,AEROENTER,
2025-12-03,AEROENTER,
2025-12-04,AEROENTER,
2025-12-05,AEROENTER,
2025-12-08,AEROENTER,
2025-12-09,AEROENTER,
2025-12-10,AEROENTER,
2025-12-11,AEROENTER,
2025-12-12,AEROENTER,
2025-12-15,AEROENTER,
2025-12-16,AEROENTER,
2025-12-17,AEROENTER,
2025-12-18,AEROENTER,
2025-12-19,AEROENTER,
2025-12-22,AEROENTER,
2025-12-23,AEROENTER,
2025-12-24,AEROENTER,
2025-12-26,AEROENTER,
2025-12-29,AEROENTER,
2025-12-30,AEROENTER,
2025-12-31,AEROENTER,
2026-01-01,AEROENTER,
2026-01-02,AEROENTER,
2026-01-05,AEROENTER,
2026-01-06,AEROENTER,
2026-01-07,AEROENTER,
2026-01-08,AEROENTER,
2026-01-09,AEROENTER,
2026-01-12,AEROENTER,
2026-01-13,AEROENTER,
2026-01-14,AEROENTER,
2026-01-16,AEROENTER,
2026-01-19,AEROENTER,
2026-01-20,AEROENTER,
2026-01-21,AEROENTER,
2026-01-22,AEROENTER,
2026-01-23,AEROENTER,
2026-01-27,AEROENTER,
2026-01-28,AEROENTER,
2026-01-29,AEROENTER,
2026-01-30,AEROENTER,
2026-02-02,AEROENTER,
2026-02-03,AEROENTER,
2026-02-04,AEROENTER,
2026-02-05,AEROENTER,
2026-02-06,AEROENTER,
2026-02-09,AEROENTER,
2026-02-10,AEROENTER,
2026-02-11,AEROENTER,
2026-02-12,AEROENTER,
2026-02-13,AEROENTER,
2026-02-16,AEROENTER,
2026-02-17,AEROENTER,
2026-02-18,AEROENTER,
2026-02-19,AEROENTER,
2026-02-20,AEROENTER,
2026-02-23,AEROENTER,
2026-02-24,AEROENTER,
2026-02-25,AEROENTER,
2026-02-26,AEROENTER,
2026-02-27,AEROENTER,
2026-03-02,AEROENTER,
2026-03-04,AEROENTER,
2026-03-05,AEROENTER,
2026-03-06,AEROENTER,
2026-03-09,AEROENTER,
2026-03-10,AEROENTER,
2026-03-11,AEROENTER,
2026-03-12,AEROENTER,
2026-03-13,AEROENTER,
2026-03-16,AEROENTER,
2026-03-17,AEROENTER,
2026-03-18,AEROENTER,
2026-03-19,AEROENTER,
2026-03-20,AEROENTER,
2026-03-23,AEROENTER,
2026-03-24,AEROENTER,
2026-03-25,AEROENTER,
2026-03-27,AEROENTER,
2026-03-30,AEROENTER,
2026-04-01,AEROENTER,
2026-04-02,AEROENTER,
2026-04-06,AEROENTER,
2026-04-07,AEROENTER,
2026-04-08,AEROENTER,
2026-04-09,AEROENTER,
2026-04-10,AEROENTER,
2026-04-13,AEROENTER,
2026-04-15,AEROENTER,
2026-04-16,AEROENTER,
2026-04-17,AEROENTER,
2026-04-20,AEROENTER,
2026-04-21,AEROENTER,
2026-04-22,AEROENTER,
2026-04-23,AEROENTER,
2026-04-24,AEROENTER,
2026-04-27,AEROENTER,
2026-04-28,AEROENTER,
2026-04-29,AEROENTER,
2026-04-30,AEROENTER,
2026-05-04,AEROENTER,
2026-05-05,AEROENTER,
2026-05-06,AEROENTER,
2026-05-07,AEROENTER,
2026-05-08,AEROENTER,
2026-05-11,AEROENTER,
2026-05-12,AEROENTER,
2026-05-13,AEROENTER,
2026-05-14,AEROENTER,
2026-05-15,AEROENTER,
2026-05-18,AEROENTER,
2026-05-19,AEROENTER,
2026-05-20,AEROENTER,
2026-05-21,AEROENTER,
2026-05-22,AEROENTER,
2026-05-25,AEROENTER,
2026-05-26,AEROENTER,
2026-05-27,AEROENTER,
2026-05-29,AEROENTER,
2026-06-01,AEROENTER,
2026-06-02,AEROENTER,
2026-06-03,AEROENTER,
2026-06-04,AEROENTER,
2026-06-05,AEROENTER,
2026-06-08,AEROENTER,
2026-06-09,AEROENTER,
2026-06-10,AEROENTER,
2026-06-11,AEROENTER,
2026-06-12,AEROENTER,
2026-06-15,AEROENTER,
2026-06-16,AEROENTER,109.6
2026-06-17,AEROENTER,110.8759
2026-06-18,AEROENTER,110.8759
2026-06-19,AEROENTER,110.8759
2026-06-22,AEROENTER,110.8759
2026-06-23,AEROENTER,110.8759
2026-06-24,AEROENTER,110.8759
2026-06-25,AEROENTER,110.8759
2026-06-29,AEROENTER,110.8759
2026-06-30,AEROENTER,110.8759
2026-07-01,AEROENTER,110.8759
2026-07-02,AEROENTER,110.8759
2026-07-03,AEROENTER,110.8759
2026-07-06,AEROENTER,110.8759
2026-07-07,AEROENTER,110.8759
2026-07-08,AEROENTER,110.8759
2026-07-09,AEROENTER,110.8759
2026-07-10,AEROENTER,110.8759
2026-07-13,AEROENTER,110.8759
2026-07-14,AEROENTER,110.8759
2026-07-15,AEROENTER,110.8759
2026-07-16,AEROENTER,110.8759
2026-07-17,AEROENTER,110.8759
2026-07-20,AEROENTER,110.8759
2026-07-21,AEROENTER,110.8759
2026-07-22,AEROENTER,110.8759
2026-07-23,AEROENTER,110.8759
2026-07-24,AEROENTER,110.8759
2026-07-27,AEROENTER,110.8759
2026-07-28,AEROENTER,110.8759
2026-07-29,AEROENTER,110.8759
2026-07-30,AEROENTER,110.8759
2026-07-31,AEROENTER,110.8759
2026-08-03,AEROENTER,110.8759
2026-08-04,AEROENTER,110.8759
2026-08-05,AEROENTER,110.8759
2026-08-06,AEROENTER,110.8759
2026-08-07,AEROENTER,110.8759
2026-08-10,AEROENTER,110.8759
2026-08-11,AEROENTER,110.8759
2026-08-12,AEROENTER,110.8759
2026-08-13,AEROENTER,110.8759
2026-08-14,AEROENTER,110.8759
2026-08-17,AEROENTER,110.8759
2026-08-18,AEROENTER,110.8759
2026-08-19,AEROENTER,110.8759
2026-08-20,AEROENTER,110.8759
2026-08-21,AEROENTER,110.8759
2026-08-24,AEROENTER,110.8759
2026-08-25,AEROENTER,110.8759
2026-08-26,AEROENTER,110.8759
2026-08-27,AEROENTER,110.8759
2026-08-28,AEROENTER,110.8759
2026-08-31,AEROENTER,110.8759
2026-09-01,AEROENTER,110.8759
2026-09-02,AEROENTER,110.8759
2026-09-03,AEROENTER,110.8759
2026-09-04,AEROENTER,110.8759
2026-09-07,AEROENTER,110.8759
2026-09-08,AEROENTER,110.8759
2026-09-09,AEROENTER,110.8759
2026-09-10,AEROENTER,110.8759
2026-09-11,AEROENTER,110.8759
2025-08-29,ALEMBICLTD,
2025-09-01,ALEMBICLTD,
2025-09-02,ALEMBICLTD,
2025-09-03,ALEMBICLTD,
2025-09-04,ALEMBICLTD,
2025-09-05,ALEMBICLTD,
2025-09-08,ALEMBICLTD,
2025-09-09,ALEMBICLTD,
2025-09-10,ALEMBICLTD,
2025-09-11,ALEMBICLTD,
2025-09-12,ALEMBICLTD,
2025-09-15,ALEMBICLTD,
2025-09-16,ALEMBICLTD,
2025-09-17,ALEMBICLTD,
2025-09-18,ALEMBICLTD,
2025-09-19,ALEMBICLTD,
2025-09-22,ALEMBICLTD,
2025-09-23,ALEMBICLTD,
2025-09-24,ALEMBICLTD,
2025-09-25,ALEMBICLTD,
2025-09-26,ALEMBICLTD,
2025-09-29,ALEMBICLTD,
2025-09-30,ALEMBICLTD,
2025-10-01,ALEMBICLTD,
2025-10-03,ALEMBICLTD,
2025-10-06,ALEMBICLTD,
2025-10-07,ALEMBICLTD,
2025-10-08,ALEMBICLTD,
2025-10-09,ALEMBICLTD,
2025-10-10,ALEMBICLTD,
2025-10-13,ALEMBICLTD,
2025-10-14,ALEMBICLTD,
2025-10-15,ALEMBICLTD,
2025-10-16,ALEMBICLTD,
2025-10-17,ALEMBICLTD,
2025-10-20,ALEMBICLTD,
2025-10-21,ALEMBICLTD,
2025-10-23,ALEMBICLTD,
2025-10-24,ALEMBICLTD,
2025-10-27,ALEMBICLTD,
2025-10-28,ALEMBICLTD,
2025-10-29,ALEMBICLTD,
2025-10-30,ALEMBICLTD,
2025-10-31,ALEMBICLTD,
2025-11-03,ALEMBICLTD,
2025-11-04,ALEMBICLTD,
2025-11-06,ALEMBICLTD,
2025-11-07,ALEMBICLTD,
2025-11-10,ALEMBICLTD,
2025-11-11,ALEMBICLTD,
2025-11-12,ALEMBICLTD,
2025-11-13,ALEMBICLTD,
2025-11-14,ALEMBICLTD,
2025-11-17,ALEMBICLTD,
2025-11-18,ALEMBICLTD,
2025-11-19,ALEMBICLTD,
2025-11-20,ALEMBICLTD,
2025-11-21,ALEMBICLTD,
2025-11-24,ALEMBICLTD,
2025-11-25,ALEMBICLTD,
2025-11-26,ALEMBICLTD,
2025-11-27,ALEMBICLTD,
2025-11-28,ALEMBICLTD,
2025-12-01,ALEMBICLTD,
2025-12-02,ALEMBICLTD,
2025-12-03,ALEMBICLTD,
2025-12-04,ALEMBICLTD,
2025-12-05,ALEMBICLTD,
2025-12-08,ALEMBICLTD,
2025-12-09,ALEMBICLTD,
2025-12-10,ALEMBICLTD,
2025-12-11,ALEMBICLTD,
2025-12-12,ALEMBICLTD,
